Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present <WUG> <WUG> past take","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP present (VP (LEX <WUG> ) (LEX <WUG> ) (LEX past ) (LEX take ) ) ) )",-92.9968049526,-93.9673610744,0.378872280371,2.23090663669,0.0111761757338,332.96880642,47.,7.59104886741,2.52884163687;1.4180519904;1.54157067411;1.08408141801;1.24659827079;4.34660056037
"present <WUG> <WUG> past chase","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  chase)))))))","(START (IP present (VP (LEX <WUG> ) (LEX <WUG> ) (LEX past ) (LEX chase ) ) ) )",-93.1147521356,-93.9642673681,0.427622179043,1.93003167162,0.0111931189218,335.740407762,32.,7.59633865185,2.48744056509;1.46426062034;1.49802153105;1.07804098849;1.27832833217;4.37042259006
"present <WUG> <WUG> present love","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  love)))))))","(START (IP (LEX present ) (LEX <WUG> ) (LEX <WUG> ) (IP present (VP (LEX love ) ) ) ) )",-90.7727018898,-91.1477821531,0.687234116922,1.3313681426,0.0120091004327,297.823231075,41.,7.97118301455,2.8242774356;1.16140897654;1.14914359699;1.01222596278;1.88694234762;5.06856410554
"present <WUG> <WUG> past sell","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP present (VP (LEX <WUG> ) (LEX <WUG> ) (LEX past ) (LEX sell ) ) ) )",-93.1158908089,-93.9654060414,0.427622179043,1.93003167162,0.0111888715354,335.745384245,32.,7.59633865185,2.48744056509;1.46426062034;1.49802153105;1.07804098849;1.27832833217;4.37042259006
"present <WUG> <WUG> present drink","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  drink)))))))","(START (IP (LEX present ) (LEX <WUG> ) (LEX <WUG> ) (IP present (VP (LEX drink ) ) ) ) )",-90.7454457193,-91.1205259825,0.687234116922,1.3313681426,0.0121572881252,297.685081427,41.,7.97118301455,2.8242774356;1.16140897654;1.14914359699;1.01222596278;1.88694234762;5.06856410554
"present <WUG> <WUG> present drive","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  drive)))))))","(START (IP (LEX present ) (LEX <WUG> ) (LEX <WUG> ) (IP present (VP (LEX drive ) ) ) ) )",-90.5081343194,-91.1512012349,0.525677740074,1.78433659535,0.0108910077737,294.246247914,65.,7.75835412859,2.83856798567;1.14764945325;1.14310400418;1.01086611638;1.67843815869;4.86354433982
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) (LEX <WUG> ) (LEX <WUG> ) (IP present (VP (LEX <WUG> ) ) ) ) )",-120.513874471,-121.075634757,0.570204457143,1.7994193543,0.00734690218835,438.897100225,74.,7.8140850709,2.83483775182;1.15170746075;1.14019401858;1.12743327569;1.73590420992;4.80331589958
"present <WUG> <WUG> present study","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  study)))))))","(START (IP (LEX present ) (LEX <WUG> ) (LEX <WUG> ) (IP present (VP (LEX study ) ) ) ) )",-90.7735962343,-91.1486764976,0.687234116922,1.3313681426,0.012004306125,297.827764117,41.,7.97118301455,2.8242774356;1.16140897654;1.14914359699;1.01222596278;1.88694234762;5.06856410554
"present <WUG> <WUG> present like","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  like)))))))","(START (IP (LEX present ) (LEX <WUG> ) (LEX <WUG> ) (IP present (VP (LEX like ) ) ) ) )",-90.6980309063,-91.0731111696,0.687234116922,1.3313681426,0.0124248986412,297.444756408,41.,7.97118301455,2.8242774356;1.16140897654;1.14914359699;1.01222596278;1.88694234762;5.06856410554
"present <WUG> <WUG> past write","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP present (VP (LEX <WUG> ) (LEX <WUG> ) (LEX past ) (LEX write ) ) ) )",-93.0866195832,-93.9361348157,0.427622179043,1.93003167162,0.0112996073065,335.617456619,32.,7.59633865185,2.48744056509;1.46426062034;1.49802153105;1.07804098849;1.27832833217;4.37042259006
