Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past hear that past bake","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  bake)))))))","(START (IP past (VP (LEX hear ) (CP that (IP past (VP (LEX bake ) ) ) ) ) ) )",-28.6131445736,-29.6918171193,0.340046622514,1.40388331391,0.00730276554724,123.714208355,50.,8.09561692292,2.02555156951;1.99959276346;1.34239120636;1.01783793844;1.98917871141;6.39974475335
"past <WUG> that past catch","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  catch)))))))","(START (IP past (VP (LEX <WUG> ) (CP that (IP past (VP (LEX catch ) ) ) ) ) ) )",-57.595737502,-59.5596691305,0.140305705194,2.61688164963,0.00351756645721,226.883731798,151.,7.51894597293,2.0259357818;1.6630120131;1.3796390708;1.02032149654;1.61636045888;6.20186663174
"past <WUG> that should clean","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  should) (VP  (LEX  clean)))))))","(START (IP past (VP (LEX <WUG> ) that (LEX should ) (VP (LEX clean ) ) ) ) )",-59.9211687349,-60.4488892528,0.589948214559,1.83226839685,0.00403880154516,234.033101171,145.,7.10026515258,2.02539458879;1.89836530275;1.11005678184;1.08057933098;1.72088346146;5.18583990861
"past <WUG> that past win","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  win)))))))","(START (IP past (VP (LEX <WUG> ) (LEX that ) past win ) ) )",-53.9039773236,-53.993680883,0.914202151788,0.47651392308,0.00169117810774,201.777823387,199.,5.11270320767,2.02520910065;1.97648040234;1.04763301265;1.00045179924;0.0433301853455;3.11911183679
"past <WUG> that would <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX <WUG> ) that (LEX would ) (VP (LEX <WUG> ) ) ) ) )",-89.1259611888,-89.7841102793,0.517808865444,2.03708850879,0.0016650801123,394.011467985,153.,7.25835522866,2.02547711571;1.86247888509;1.1514952018;1.0716649722;1.80006523249;5.42786068096
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX <WUG> ) (CP that (IP past (VP (LEX <WUG> ) ) ) ) ) ) )",-87.1264037786,-88.8096075086,0.185777839591,2.43809134581,0.00150562888868,416.775317646,176.,7.71722355235,2.02593398074;1.66391382132;1.37866881781;1.02051022155;1.81611873374;6.3943367381
"past <WUG> that past wrap","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  wrap)))))))","(START (IP past (VP (LEX <WUG> ) (CP that (IP past (VP (LEX wrap ) ) ) ) ) ) )",-58.0482235561,-59.5364379597,0.225775439646,1.96823902926,0.00429341923974,231.820853841,101.,7.89445005507,2.02593476523;1.66368397948;1.37877677078;1.02025853857;1.99182747694;6.5728171028
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX <WUG> ) (CP that (IP past (VP (LEX <WUG> ) ) ) ) ) ) )",-87.1264037786,-88.8096075086,0.185777839591,2.43809134581,0.00150562888868,416.775317646,176.,7.71722355235,2.02593398074;1.66391382132;1.37866881781;1.02051022155;1.81611873374;6.3943367381
"past <WUG> that present play","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP past (VP (LEX <WUG> ) that present (LEX play ) ) ) )",-52.361490961,-52.4430652351,0.921664251454,0.446391461259,0.00739525183094,195.833641996,171.,5.16768732433,2.02564811121;1.97902241022;1.01976856489;0.0474484767855;1.04608760406;4.13566440382
"past <WUG> that would finish","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  finish)))))))","(START (IP past (VP (LEX <WUG> ) that (LEX would ) (VP (LEX finish ) ) ) ) )",-59.6520866087,-60.5334594652,0.414213864958,2.16735143276,0.00359605388004,233.179438616,128.,7.09807590411,2.02547774893;1.86185140163;1.15222097919;1.07158639131;1.64000084642;5.28048530685
