Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past hear <WUG> that past bake","(START  (IP  (LEX  past) (VP  (LEX  hear) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  bake))))))))","(START (IP past (LEX hear ) (LEX <WUG> ) (LEX that ) (LEX past ) (LEX bake ) ) )",-67.3071821533,-67.8246620452,0.596020693476,0.917776672514,0.0227157569703,220.205752743,21.,7.47610028854,2.0355772211;1.40397930652;1.00002104245;1.0000004201;1.00000182279;1.0365208621;3.44056290307
"past <WUG> <WUG> that past catch","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  catch))))))))","(START (IP past (VP <WUG> (LEX <WUG> ) (LEX that ) (IP past (VP catch ) ) ) ) )",-95.6946016699,-96.8529618581,0.314000660928,2.17435663529,0.0146936244501,336.03927807,109.,7.41185875922,2.08086419935;1.22795054388;1.00027916043;1.00000523355;1.06992138142;1.07554325679;4.30329090595
"past make <WUG> that should clean","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  should) (VP  (LEX  clean))))))))","(START (IP past (LEX make ) (LEX <WUG> ) (LEX that ) (LEX should ) (LEX clean ) ) )",-69.2300107592,-69.7474751581,0.596029927709,0.917606590864,0.0086659025302,226.747832845,19.,7.47605980108,2.03557640787;1.40397007229;1.00000554963;1.00000001369;1.00000182281;1.03650593478;3.44049264958
"past <WUG> <WUG> that past win","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  win))))))))","(START (IP past (VP <WUG> (LEX <WUG> ) (LEX that ) (IP past (VP win ) ) ) ) )",-95.8567908071,-97.1610052726,0.27138563412,2.19767170319,0.0151320135215,335.077085873,114.,7.43003201273,2.07691620084;1.23950838105;1.00034293868;1.00009059684;1.0725049836;1.08896746548;4.23869789078
"past make <WUG> that would <WUG>","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  <WUG>))))))))","(START (IP past (LEX make ) (LEX <WUG> ) (LEX that ) (LEX would ) (LEX <WUG> ) ) )",-98.5828241817,-99.281946905,0.497021137672,1.26503037427,0.00676872390623,337.235384415,41.,7.57780081959,2.04429580899;1.50297886233;1.00006967464;1.00001899771;1.0000179139;1.03044658118;3.53360660813
"past <WUG> <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>))))))))","(START (IP past (VP <WUG> (LEX <WUG> ) (LEX that ) (IP past (VP <WUG> ) ) ) ) )",-125.254803126,-126.557185808,0.271883209313,2.1822954274,0.0137860013275,459.538423595,114.,7.43405226177,2.07641067787;1.2423129301;1.00025463251;1.00000641442;1.06394747689;1.09046071543;4.23794755084
"past <WUG> <WUG> that past wrap","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  wrap))))))))","(START (IP past (LEX <WUG> ) (LEX <WUG> ) (LEX that ) (LEX past ) (LEX wrap ) ) )",-96.5855157765,-97.2758659117,0.50140048037,1.38691892118,0.0191339538242,325.29711873,56.,7.58436855354,2.04676110651;1.33984628482;1.00007658458;1.00000152896;1.01136346671;1.18944728488;3.81380542116
"past make <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>))))))))","(START (IP past (LEX make ) (LEX <WUG> ) (LEX that ) (LEX past ) (LEX <WUG> ) ) )",-96.5784739884,-97.2776492187,0.496995041287,1.26547823392,0.0209829843154,330.225551604,41.,7.57788834074,2.04429810721;1.50300495871;1.00012217656;1.00000307773;1.00001791296;1.03045311609;3.53381275586
"past make <WUG> that present play","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  play))))))))","(START (IP past (VP (LEX make ) (LEX <WUG> ) (LEX that ) (LEX present ) (VP play ) ) ) )",-64.1603930779,-64.7182457117,0.57243697684,1.19250307596,0.155230984756,232.292857281,43.,7.86063580717,2.0685499787;1.77838493274;1.00046517561;1.00001650874;0.999654450337;1.01358106372;3.79296761303
"past <WUG> <WUG> that would finish","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  finish))))))))","(START (IP past (LEX <WUG> ) (LEX <WUG> ) (LEX that ) (LEX would ) (LEX finish ) ) )",-97.8637363081,-99.3013414365,0.237495850243,2.16700779475,0.00679188500864,344.679039132,96.,7.5006496868,2.07326788477;1.31827304228;1.00022978296;1.00006877569;1.06343098078;1.05215481044;4.08456319919
"past hear <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  hear) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>))))))))","(START (IP past (LEX hear ) (LEX <WUG> ) (LEX that ) (LEX past ) (LEX <WUG> ) ) )",-96.5924185536,-97.2915937838,0.496995041287,1.26547823392,0.0209583095738,330.274399485,41.,7.57788834074,2.04429810721;1.50300495871;1.00012217656;1.00000307773;1.00001791296;1.03045311609;3.53381275586
"past <WUG> <WUG> that could <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  could) (VP  (LEX  <WUG>))))))))","(START (IP past (LEX <WUG> ) (LEX <WUG> ) (LEX that ) (LEX could ) (LEX <WUG> ) ) )",-127.666286253,-128.726002715,0.346554057698,2.1348316836,0.00502228295991,453.036451169,132.,7.51290615386,2.06128284866;1.3507133681;1.00023273867;1.00013442164;1.09256312823;1.05418110116;3.83065140292
"past <WUG> <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>))))))))","(START (IP past (VP <WUG> (LEX <WUG> ) (LEX that ) (IP past (VP <WUG> ) ) ) ) )",-125.254803126,-126.557185808,0.271883209313,2.1822954274,0.0137860013275,459.538423595,114.,7.43405226177,2.07641067787;1.2423129301;1.00025463251;1.00000641442;1.06394747689;1.09046071543;4.23794755084
"past make <WUG> that past see","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  see))))))))","(START (IP past (VP (LEX make ) (LEX <WUG> ) (LEX that ) (LEX past ) (VP see ) ) ) )",-65.8215176181,-66.1744115637,0.702651708772,0.982047536036,0.0348795475107,243.621438612,35.,7.94838045546,2.07604427939;1.86348270889;1.00044892569;1.00000896432;1.00003879811;1.00836502695;3.87318612872
"past <WUG> <WUG> that could find","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  could) (VP  (LEX  find))))))))","(START (IP past (VP (LEX <WUG> ) (LEX <WUG> ) (LEX that ) (LEX could ) (VP find ) ) ) )",-97.5992176434,-99.0342201538,0.238114766253,2.11500035503,0.00858001153651,349.098800106,114.,7.57954634807,2.0767002664;1.37937543308;1.00024333422;1.00013824192;1.1003378687;1.02726799582;4.02921297267
"past hear <WUG> that past sell","(START  (IP  (LEX  past) (VP  (LEX  hear) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell))))))))","(START (IP past (LEX hear ) (LEX <WUG> ) (LEX that ) (LEX past ) (LEX sell ) ) )",-67.2615581764,-67.7790380683,0.596020693476,0.917776672514,0.0228044105641,220.04878058,21.,7.47610028854,2.0355772211;1.40397930652;1.00002104245;1.0000004201;1.00000182279;1.0365208621;3.44056290307
