Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present (VP think (CP (LEX null ) (IP (LEX null ) (LEX <WUG> ) from ) ) ) ) )",-63.5230115868,-63.6729692564,0.860744411351,0.637584026548,0.0192020562402,328.687731651,63.,8.0695808562,2.06859928398;1.06422125983;1.97781141726;2.;1.00037105338;1.00009586297;4.93976255688
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present (VP think (CP (LEX null ) (LEX null ) (LEX <WUG> ) <WUG> ) ) ) )",-92.3964774211,-92.5240764992,0.880206202297,0.537707704766,0.0191072029472,397.687421118,69.,7.07938806552,2.06745099806;1.04542373904;1.99979761573;1.00912109933;1.00088514531;1.0000347093;3.9682874274
"present think null null <WUG> with","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  with))))))))","(START (IP present (VP think (CP (LEX null ) (IP (LEX null ) (LEX <WUG> ) (PP with ) ) ) ) ) )",-64.473165357,-65.2931847581,0.440423109742,1.37446168621,0.227412463573,352.246981422,54.,9.52324931836,2.06859928398;1.06422125983;1.97781141726;2.;1.47142953713;1.00024791193;6.40193112604
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present (VP think (CP (LEX null ) (LEX null ) (LEX <WUG> ) <WUG> ) ) ) )",-92.3964774211,-92.5240764992,0.880206202297,0.537707704766,0.0191072029472,397.687421118,69.,7.07938806552,2.06745099806;1.04542373904;1.99979761573;1.00912109933;1.00088514531;1.0000347093;3.9682874274
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present (VP think (CP (LEX null ) (IP (LEX null ) (LEX <WUG> ) from ) ) ) ) )",-63.5230115868,-63.6729692564,0.860744411351,0.637584026548,0.0192020562402,328.687731651,63.,8.0695808562,2.06859928398;1.06422125983;1.97781141726;2.;1.00037105338;1.00009586297;4.93976255688
"present think null null picture of","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  picture) (PP  (LEX  of))))))))","(START (IP present (VP think (CP (LEX null ) (IP (LEX null ) (LEX picture ) (PP of ) ) ) ) ) )",-36.2263510161,-37.0656291948,0.43202225379,1.41726071874,0.0609831222629,171.881350807,45.,9.52965396966,2.06859928398;1.06422125983;1.97781141726;2.;1.46293872667;1.00128416708;6.39447657073
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present (VP think (CP (LEX null ) (IP (LEX null ) (LEX <WUG> ) from ) ) ) ) )",-63.5230115868,-63.6729692564,0.860744411351,0.637584026548,0.0192020562402,328.687731651,63.,8.0695808562,2.06859928398;1.06422125983;1.97781141726;2.;1.00037105338;1.00009586297;4.93976255688
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present (VP think (CP (LEX null ) (IP (LEX null ) (LEX <WUG> ) from ) ) ) ) )",-63.5230115868,-63.6729692564,0.860744411351,0.637584026548,0.0192020562402,328.687731651,63.,8.0695808562,2.06859928398;1.06422125983;1.97781141726;2.;1.00037105338;1.00009586297;4.93976255688
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present (VP think (CP (LEX null ) (LEX null ) (LEX <WUG> ) <WUG> ) ) ) )",-92.3964774211,-92.5240764992,0.880206202297,0.537707704766,0.0191072029472,397.687421118,69.,7.07938806552,2.06745099806;1.04542373904;1.99979761573;1.00912109933;1.00088514531;1.0000347093;3.9682874274
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present (VP think (CP (LEX null ) (LEX null ) (LEX <WUG> ) <WUG> ) ) ) )",-92.3964774211,-92.5240764992,0.880206202297,0.537707704766,0.0191072029472,397.687421118,69.,7.07938806552,2.06745099806;1.04542373904;1.99979761573;1.00912109933;1.00088514531;1.0000347093;3.9682874274
