Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present <WUG> <WUG> present forget","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  forget)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (LEX forget ) ) ) ) ) )",-91.1011015955,-92.3275631893,0.293328659507,2.24658217237,0.00532609551117,382.911902979,48.,8.16390352748,2.05883817759;1.92935048061;1.5536148247;1.47387803263;1.14990509198;5.43593527929
"present laugh <WUG> present buy","(START  (IP  (LEX  present) (VP  (LEX  laugh) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  buy)))))))","(START (IP present (VP (LEX laugh ) (CP (LEX <WUG> ) (IP (LEX present ) (LEX buy ) ) ) ) ) )",-61.2091418529,-62.400228588,0.303890835721,2.12115584281,0.00833302547552,264.787786254,33.,8.17739969469,2.05845616399;1.96281452588;1.53754139059;1.46995251142;1.14863510282;5.41260402754
"present <WUG> <WUG> present leave","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  leave)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP leave ) ) ) ) ) )",-89.1179502053,-90.0932192204,0.37709089678,2.14960474075,0.00899144811783,375.194648577,75.,7.74430939521,2.05401098619;1.92756470558;1.6661345279;1.0782141029;1.02041023104;5.37857880995
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-120.209228345,-121.649613933,0.236836419822,2.64515120811,0.00168331161215,542.173746048,84.,7.89808087867,2.05579920767;1.92820169211;1.62486280783;1.22776694009;1.06789323833;5.39631848453
"present sneeze <WUG> present leave","(START  (IP  (LEX  present) (VP  (LEX  sneeze) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  leave)))))))","(START (IP present (VP (LEX sneeze ) (CP (LEX <WUG> ) (IP present (VP leave ) ) ) ) ) )",-59.2690644941,-60.2016132778,0.393549358752,2.00239899264,0.0118794693997,257.573148253,51.,7.77147356587,2.05333725429;1.96804907834;1.65156267739;1.07813804143;1.02038651441;5.36396746598
"present notice <WUG> present turn","(START  (IP  (LEX  present) (VP  (LEX  notice) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  turn)))))))","(START (IP present (VP (LEX notice ) (CP (LEX <WUG> ) (IP present (VP turn ) ) ) ) ) )",-59.3273314391,-60.3089575863,0.37470128375,2.14033819375,0.0109276653232,257.943679742,57.,7.77493748067,2.05352540169;1.96785668046;1.65031968089;1.11420829805;1.02167594675;5.34078930642
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-120.209228345,-121.649613933,0.236836419822,2.64515120811,0.00168331161215,542.173746048,84.,7.89808087867,2.05579920767;1.92820169211;1.62486280783;1.22776694009;1.06789323833;5.39631848453
"present complain <WUG> present keep","(START  (IP  (LEX  present) (VP  (LEX  complain) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  keep)))))))","(START (IP present (VP (LEX complain ) (CP (LEX <WUG> ) (IP present (VP keep ) ) ) ) ) )",-59.3031833629,-60.2412647253,0.391378028042,2.01392016327,0.0115782056349,257.746201016,51.,7.77371318296,2.05336549686;1.96802019774;1.65093358751;1.08029980024;1.02109410061;5.36423580858
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-120.209228345,-121.649613933,0.236836419822,2.64515120811,0.00168331161215,542.173746048,84.,7.89808087867,2.05579920767;1.92820169211;1.62486280783;1.22776694009;1.06789323833;5.39631848453
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-120.209228345,-121.649613933,0.236836419822,2.64515120811,0.00168331161215,542.173746048,84.,7.89808087867,2.05579920767;1.92820169211;1.62486280783;1.22776694009;1.06789323833;5.39631848453
"present <WUG> <WUG> present play","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (LEX play ) ) ) ) ) )",-90.9748273436,-92.2012889374,0.293328659507,2.24658217237,0.00572353010088,382.225484319,48.,8.16390352748,2.05883817759;1.92935048061;1.5536148247;1.47387803263;1.14990509198;5.43593527929
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-120.209228345,-121.649613933,0.236836419822,2.64515120811,0.00168331161215,542.173746048,84.,7.89808087867,2.05579920767;1.92820169211;1.62486280783;1.22776694009;1.06789323833;5.39631848453
"present smile <WUG> present pay","(START  (IP  (LEX  present) (VP  (LEX  smile) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  pay)))))))","(START (IP present (VP (LEX smile ) (CP (LEX <WUG> ) (IP (LEX present ) (LEX pay ) ) ) ) ) )",-61.2554067234,-62.4464934585,0.303890835721,2.12115584281,0.00819514928513,265.031546235,33.,8.17739969469,2.05845616399;1.96281452588;1.53754139059;1.46995251142;1.14863510282;5.41260402754
"present cough <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  cough) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX cough ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-90.3581986377,-91.7585645136,0.246506756568,2.50595293689,0.00457961425635,423.900989709,57.,7.92092535238,2.05524193799;1.96610136539;1.60954547202;1.22693177995;1.06763145966;5.37860306815
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) ) )",-120.209228345,-121.649613933,0.236836419822,2.64515120811,0.00168331161215,542.173746048,84.,7.89808087867,2.05579920767;1.92820169211;1.62486280783;1.22776694009;1.06789323833;5.39631848453
"present <WUG> <WUG> present forget","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  forget)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (IP (LEX present ) (LEX forget ) ) ) ) ) )",-91.1011015955,-92.3275631893,0.293328659507,2.24658217237,0.00532609551117,382.911902979,48.,8.16390352748,2.05883817759;1.92935048061;1.5536148247;1.47387803263;1.14990509198;5.43593527929
