Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past whisper that past buy","(START  (IP  (LEX  past) (VP  (LEX  whisper) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP past (VP (LEX whisper ) (CP that (IP past (LEX buy ) ) ) ) ) )",-30.7920746583,-31.0902621507,0.742162176931,0.824352920404,0.00824031846039,124.62258157,43.,7.22210030338,2.02136961843;1.98596761989;1.00298752321;1.00157225075;1.21020893677;6.15703143374
"past whisper that past write","(START  (IP  (LEX  past) (VP  (LEX  whisper) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP past (VP (LEX whisper ) (CP that (IP past (VP write ) ) ) ) ) )",-30.7217779037,-30.9226772364,0.81799477267,0.766616091498,0.00492164213172,123.717706298,65.,7.04376624149,2.02141635062;1.98592053732;1.00301579552;1.00669477555;1.02674294129;5.9800786713
"past whisper that past sell","(START  (IP  (LEX  past) (VP  (LEX  whisper) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP past (VP (LEX whisper ) (CP that (IP past (VP sell ) ) ) ) ) )",-32.724734074,-32.9123751738,0.828912150587,0.737699509775,0.00185820872369,135.662922686,65.,7.0413861036,2.02141697434;1.98591990893;1.00301617286;1.00676314339;1.02429430999;5.97771696894
"past whisper that past take","(START  (IP  (LEX  past) (VP  (LEX  whisper) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP past (VP (LEX whisper ) (CP that (IP past (LEX take ) ) ) ) ) )",-29.9286065936,-30.226794086,0.742162176931,0.824352920404,0.0176843613913,119.306181554,43.,7.22210030338,2.02136961843;1.98596761989;1.00298752321;1.00157225075;1.21020893677;6.15703143374
"past whisper that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  whisper) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX whisper ) (CP that (IP past (VP <WUG> ) ) ) ) ) )",-60.6811018419,-61.3457945518,0.514431583119,1.25697850369,0.00139628876613,304.942582579,78.,7.10573987988,2.02135171054;1.98598566204;1.00300011828;1.00516293318;1.09403428933;6.03455906465
"past whisper that past break","(START  (IP  (LEX  past) (VP  (LEX  whisper) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  break)))))))","(START (IP past (VP (LEX whisper ) (CP that (IP past (VP break ) ) ) ) ) )",-31.8681440597,-31.9832885576,0.891237352675,0.542032767953,0.00266646177428,130.338338686,65.,7.02779835608,2.02142053499;1.98591632158;1.003018327;1.00715344221;1.01031554676;5.96423446631
"past <WUG> that past buy","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP past (VP <WUG> (CP that (IP past (LEX buy ) ) ) ) ) )",-55.9463162233,-56.2204965589,0.760194972745,0.728037931921,0.00697479822691,194.550589243,90.,6.24583619162,2.00813501502;1.02240425805;1.00308457667;1.00157811423;1.21101974813;6.20623029688
"past <WUG> that past write","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP past (VP <WUG> (CP that (IP past (VP write ) ) ) ) ) )",-55.8726586657,-56.0529116446,0.835058932375,0.688772371409,0.00368493328313,193.599054761,138.,6.06661501952,2.00813500678;1.02232802187;1.00310332026;1.0066971969;1.02675602034;6.02192543587
"past <WUG> that past sell","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP past (VP <WUG> (CP that (IP past (VP sell ) ) ) ) ) )",-57.8755700573,-58.042609582,0.846166166246,0.660154789863,0.000620760946109,205.627408694,138.,6.06423117403,2.00813500667;1.02232700784;1.00310356957;1.00676528653;1.02430510312;6.01947397153
"past <WUG> that past take","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP past (VP <WUG> (CP that (IP past (LEX take ) ) ) ) ) )",-55.0828481587,-55.3570284942,0.760194972745,0.728037931921,0.0164211322183,189.19170758,90.,6.24583619162,2.00813501502;1.02240425805;1.00308457667;1.00157811423;1.21101974813;6.20623029688
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP <WUG> (CP that (IP past (VP <WUG> ) ) ) ) ) )",-85.8365457139,-86.47602896,0.527564974854,1.15440477291,0.000118850174901,376.530451842,163.,6.13250996523,2.00813495612;1.02243162152;1.00310130739;1.00518842191;1.09451055787;6.0890764736
