Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present think that past forget","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  forget)))))))","(START (IP present (VP (LEX think ) that (LEX past ) (LEX forget ) ) ) )",-23.4158133647,-24.8476997651,0.238857915317,2.36418043386,0.124489407841,91.1939761962,76.,6.63313209038,2.53243615436;1.33132774372;1.03813840009;1.04166098805;1.36443608731;4.9830850066
"present <WUG> that past buy","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX past ) (LEX buy ) ) ) )",-53.6564168944,-54.6055855733,0.387062663106,2.29550800623,0.0869236916422,199.654057977,120.,6.53239891624,2.35278206551;1.67218954541;1.03365080376;1.05126030003;1.00957962263;4.6755771023
"present <WUG> that past leave","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  leave)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX past ) (LEX leave ) ) ) )",-53.9371535136,-54.6055855733,0.512511535614,1.90288718105,0.0873765311901,203.57219437,137.,6.44059119857,2.33613263786;1.80911177232;1.01914790023;1.07192555819;1.01268442444;4.34633248185
"present think that will <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  <WUG>)))))))","(START (IP (LEX present ) think (CP that (IP will (VP <WUG> ) ) ) ) )",-54.4391949099,-56.430327012,0.136540759831,3.26553194065,0.119137453207,242.217919407,156.,6.42515879945,2.59660752219;1.07803399415;1.18073581542;1.29709911682;1.05255706355;4.88098677376
"present hope that will leave","(START  (IP  (LEX  present) (VP  (LEX  hope) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  leave)))))))","(START (IP present (VP hope (CP that (IP (LEX will ) leave ) ) ) ) )",-25.650301219,-27.4689035114,0.162252373893,2.78807146716,0.0671830155218,109.893370969,125.,6.5566602902,2.32795740383;1.16856821834;1.17047216166;1.40713320023;1.0330075979;5.25457225312
"present complain that present turn","(START  (IP  (LEX  present) (VP  (LEX  complain) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  turn)))))))","(START (IP present (VP (LEX complain ) that (LEX present ) (LEX turn ) ) ) )",-22.7126841119,-23.1824878807,0.62512492524,1.11924655189,0.252473592232,82.5253173457,68.,6.40903481689,2.33023775933;1.97463175374;1.00395496435;1.00789028795;1.00199600098;4.10038819983
"present <WUG> that past <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX past ) (LEX <WUG> ) ) ) )",-83.2960729262,-83.9026180669,0.545231316314,1.70921587849,0.0854546860234,330.410688894,145.,6.42035603602,2.33155906436;1.84582802794;1.01543060542;1.0405327836;1.01349422394;4.29566997056
"present <WUG> that present keep","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  keep)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX present ) (LEX keep ) ) ) )",-51.4557172019,-51.9723878416,0.596503219795,1.36553645942,0.244489492846,194.2068295,160.,6.30942005044,2.32692619469;1.89187287511;1.00440143507;0.957163439897;1.00598210824;4.14782084441
"present <WUG> that will <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX will ) (LEX <WUG> ) ) ) )",-85.9374623387,-86.4461621339,0.601276853843,1.40986498913,0.065643721797,337.671222801,157.,6.38245966744,2.32427310267;1.90480979965;1.01957142408;1.04469923841;1.00681480353;4.14639702025
"present <WUG> that present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX present ) (LEX <WUG> ) ) ) )",-81.2216533185,-81.7799169558,0.572201751535,1.57598314395,0.240971183157,318.087077892,168.,6.32911613307,2.32991935401;1.86701016314;1.00756105384;0.984672224654;1.00573839788;4.17911606425
"present <WUG> that present play","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP present (VP (LEX <WUG> ) that (LEX present ) (LEX play ) ) ) )",-51.5077276347,-52.4635380372,0.38450041817,2.47076851189,0.2128964917,189.544608099,143.,6.54169349136,2.35340221288;1.66099267486;1.02987141275;1.07723853513;1.00385601124;4.626981829
