Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present think that past take","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP present think (CP that (IP past (VP take ) ) ) ) )",-19.5710958706,-20.3731259747,0.448417704823,1.90373673955,0.00851430621047,72.7192824095,201.,5.63268723511,2.03921140037;0.461855445565;1.07256985694;1.06657491792;1.01739897871;5.31828012096
"present think that past chase","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  chase)))))))","(START (IP present think (CP that (IP past (VP chase ) ) ) ) )",-21.0317657699,-21.9469659799,0.400436446677,2.2418433632,0.00411394489552,80.7323080739,224.,5.67362295741,2.03926558009;0.470987354237;1.07152034254;1.06661728959;1.06025248303;5.34108500854
"present think that present love","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  love)))))))","(START (IP present think (CP that (IP present (VP love ) ) ) ) )",-19.9562770561,-21.0948067691,0.320289593426,2.37599949773,0.00602598711165,75.8080351825,198.,5.60862102501,2.04416544032;0.582771251343;1.06339916267;1.04775482558;1.10694935699;5.11654706157
"present think that past sell","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP present think (CP that (IP past (VP sell ) ) ) ) )",-21.0002175912,-21.9053851269,0.404474115543,2.20525585661,0.00411301045556,80.5606419878,201.,5.67202612796,2.03926344403;0.470632759159;1.07156102434;1.06295529984;1.05828489082;5.34385144965
"present think that present drink","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  drink)))))))","(START (IP present think (CP that (IP present (VP drink ) ) ) ) )",-18.8706662059,-19.8944575227,0.359230398842,2.07963173181,0.00798972031848,69.8707506195,221.,5.52026874047,2.04418930617;0.571146941026;1.06483926353;1.0499198342;1.02299239399;5.05001070641
"present think that present drive","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  drive)))))))","(START (IP present think (CP that (IP present (VP (LEX drive ) ) ) ) ) )",-21.2873443597,-22.5159650047,0.292696031111,2.30198016727,0.0134874469907,85.3442662041,121.,6.32803676744,2.04392431565;0.676202311787;1.05176929138;1.03887773817;1.79015686575;5.65159145641
"present think that present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present think (CP that (IP present (VP <WUG> ) ) ) ) )",-49.4901042674,-50.6753948667,0.305657342795,2.51052834758,0.00547050396761,226.619324402,231.,5.62144577449,2.04401949663;0.581175845153;1.06454813844;1.07049609146;1.11806703515;5.10626595711
"present think that present study","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  study)))))))","(START (IP present think (CP that (IP present (VP (LEX study ) ) ) ) ) )",-22.0055222112,-23.2341428562,0.292696031111,2.30198016727,0.0115390882198,89.4031140138,121.,6.32803676744,2.04392431565;0.676202311787;1.05176929138;1.03887773817;1.79015686575;5.65159145641
"present think that present like","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  like)))))))","(START (IP present think (CP that present like ) ) )",-13.678385026,-14.1667218118,0.613646170931,0.837413054863,0.00292523182175,38.6509871338,229.,3.4232438959,2.02665418531;0.388276247438;1.00026121538;0.00471915494505;0.00647122981918;3.38924863133
"present think that past write","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP present think (CP that (IP past (VP write ) ) ) ) )",-20.0880304669,-20.9048549346,0.441832482444,1.95749645504,0.00611417486765,75.5092570669,201.,5.63858241486,2.03921919944;0.463170781041;1.07241867705;1.06603249546;1.02352598899;5.32211214489
